{'loss': 2.4688, 'grad_norm': 4.673240223255446, 'learning_rate': 2e-05, 'epoch': 0.26}
{'loss': 2.4219, 'grad_norm': 5.682365722933665, 'learning_rate': 2e-05, 'epoch': 0.26}
{'loss': 2.5781, 'grad_norm': 5.92508714921797, 'learning_rate': 2e-05, 'epoch': 0.26}
{'loss': 1.7656, 'grad_norm': 5.527002715594196, 'learning_rate': 2e-05, 'epoch': 0.26}
{'loss': 2.0781, 'grad_norm': 4.861116207642927, 'learning_rate': 2e-05, 'epoch': 0.27}
{'loss': 2.5, 'grad_norm': 4.9088171632362085, 'learning_rate': 2e-05, 'epoch': 0.27}
{'loss': 2.125, 'grad_norm': 5.855620912498212, 'learning_rate': 2e-05, 'epoch': 0.27}
{'loss': 2.5469, 'grad_norm': 5.0733099057221684, 'learning_rate': 2e-05, 'epoch': 0.27}
{'loss': 1.7734, 'grad_norm': 5.989621966709335, 'learning_rate': 2e-05, 'epoch': 0.27}
{'loss': 2.125, 'grad_norm': 4.982177302652287, 'learning_rate': 2e-05, 'epoch': 0.27}
{'loss': 2.0312, 'grad_norm': 5.222638222315441, 'learning_rate': 2e-05, 'epoch': 0.27}
{'loss': 2.2812, 'grad_norm': 5.154905593698026, 'learning_rate': 2e-05, 'epoch': 0.27}
{'loss': 2.2812, 'grad_norm': 6.035031319020624, 'learning_rate': 2e-05, 'epoch': 0.27}
{'loss': 1.9688, 'grad_norm': 4.8919104357200816, 'learning_rate': 2e-05, 'epoch': 0.28}
{'loss': 2.6719, 'grad_norm': 3.995860097179417, 'learning_rate': 2e-05, 'epoch': 0.28}
{'loss': 1.875, 'grad_norm': 4.607390122853896, 'learning_rate': 2e-05, 'epoch': 0.28}
{'loss': 2.5469, 'grad_norm': 4.394756002697058, 'learning_rate': 2e-05, 'epoch': 0.28}
{'loss': 2.6719, 'grad_norm': 4.581849334008666, 'learning_rate': 2e-05, 'epoch': 0.28}
{'loss': 2.0156, 'grad_norm': 4.570974643313947, 'learning_rate': 2e-05, 'epoch': 0.28}
{'loss': 2.6094, 'grad_norm': 5.2103735682870616, 'learning_rate': 2e-05, 'epoch': 0.28}
{'loss': 2.7344, 'grad_norm': 6.02447386620731, 'learning_rate': 2e-05, 'epoch': 0.28}
{'loss': 2.3281, 'grad_norm': 4.995303310974033, 'learning_rate': 2e-05, 'epoch': 0.28}
{'loss': 2.5469, 'grad_norm': 7.167986441114688, 'learning_rate': 2e-05, 'epoch': 0.29}
{'loss': 1.7109, 'grad_norm': 6.524993932244898, 'learning_rate': 2e-05, 'epoch': 0.29}
{'loss': 2.0469, 'grad_norm': 4.578586452874299, 'learning_rate': 2e-05, 'epoch': 0.29}
{'loss': 1.5234, 'grad_norm': 5.738987692650044, 'learning_rate': 2e-05, 'epoch': 0.29}
