{'loss': 2.7656, 'grad_norm': 9.02286904379206, 'learning_rate': 2e-05, 'epoch': 0.65}
{'loss': 2.1406, 'grad_norm': 7.906025602966618, 'learning_rate': 2e-05, 'epoch': 0.66}
{'loss': 2.3281, 'grad_norm': 9.003717818557789, 'learning_rate': 2e-05, 'epoch': 0.66}
{'loss': 2.4844, 'grad_norm': 7.8914716237760745, 'learning_rate': 2e-05, 'epoch': 0.67}
{'loss': 2.4375, 'grad_norm': 8.23136952506181, 'learning_rate': 2e-05, 'epoch': 0.67}
{'loss': 1.875, 'grad_norm': 7.507494835750246, 'learning_rate': 2e-05, 'epoch': 0.68}
{'loss': 2.2344, 'grad_norm': 8.468589851970755, 'learning_rate': 2e-05, 'epoch': 0.68}
{'loss': 1.7891, 'grad_norm': 9.395393929703891, 'learning_rate': 2e-05, 'epoch': 0.68}
{'loss': 1.5391, 'grad_norm': 9.808768117850938, 'learning_rate': 2e-05, 'epoch': 0.69}
{'loss': 2.1094, 'grad_norm': 8.310792695333202, 'learning_rate': 2e-05, 'epoch': 0.69}
{'loss': 2.1719, 'grad_norm': 8.425080678391334, 'learning_rate': 2e-05, 'epoch': 0.7}
{'loss': 2.0625, 'grad_norm': 8.030619579584114, 'learning_rate': 2e-05, 'epoch': 0.7}
{'loss': 2.2656, 'grad_norm': 8.370346054294089, 'learning_rate': 2e-05, 'epoch': 0.71}
{'loss': 2.1562, 'grad_norm': 8.685871094735417, 'learning_rate': 2e-05, 'epoch': 0.71}
{'loss': 2.1406, 'grad_norm': 9.194236621722407, 'learning_rate': 2e-05, 'epoch': 0.72}
{'loss': 1.8828, 'grad_norm': 7.77303476209895, 'learning_rate': 2e-05, 'epoch': 0.72}
{'loss': 2.0625, 'grad_norm': 7.657524965698309, 'learning_rate': 2e-05, 'epoch': 0.72}
{'loss': 2.3438, 'grad_norm': 9.140392017199538, 'learning_rate': 2e-05, 'epoch': 0.73}
{'loss': 2.25, 'grad_norm': 10.385050378985023, 'learning_rate': 2e-05, 'epoch': 0.73}
{'loss': 2.4375, 'grad_norm': 10.968201973748563, 'learning_rate': 2e-05, 'epoch': 0.74}
{'loss': 2.0, 'grad_norm': 8.398845883858618, 'learning_rate': 2e-05, 'epoch': 0.74}
{'loss': 2.0312, 'grad_norm': 8.269161436282578, 'learning_rate': 2e-05, 'epoch': 0.75}
{'loss': 2.3594, 'grad_norm': 10.36029957084324, 'learning_rate': 2e-05, 'epoch': 0.75}
{'loss': 2.1094, 'grad_norm': 9.88591539304484, 'learning_rate': 2e-05, 'epoch': 0.76}
{'loss': 2.0312, 'grad_norm': 9.052257008615628, 'learning_rate': 2e-05, 'epoch': 0.76}
{'loss': 2.1875, 'grad_norm': 7.3910928702105485, 'learning_rate': 2e-05, 'epoch': 0.76}
{'loss': 2.2812, 'grad_norm': 8.523659137025064, 'learning_rate': 2e-05, 'epoch': 0.77}
{'loss': 2.1875, 'grad_norm': 7.710500907427924, 'learning_rate': 2e-05, 'epoch': 0.77}
{'loss': 2.2344, 'grad_norm': 8.343592414004707, 'learning_rate': 2e-05, 'epoch': 0.78}
{'loss': 2.0625, 'grad_norm': 8.150234914775885, 'learning_rate': 2e-05, 'epoch': 0.78}
{'loss': 2.1406, 'grad_norm': 8.144141628351951, 'learning_rate': 2e-05, 'epoch': 0.79}
{'loss': 1.8438, 'grad_norm': 9.325470786823015, 'learning_rate': 2e-05, 'epoch': 0.79}
{'loss': 2.0781, 'grad_norm': 8.775668795669374, 'learning_rate': 2e-05, 'epoch': 0.8}
{'loss': 1.9531, 'grad_norm': 7.20752425432803, 'learning_rate': 2e-05, 'epoch': 0.8}
{'loss': 2.0469, 'grad_norm': 8.498262310155928, 'learning_rate': 2e-05, 'epoch': 0.8}
{'loss': 2.2031, 'grad_norm': 7.386850455382626, 'learning_rate': 2e-05, 'epoch': 0.81}
{'loss': 2.1562, 'grad_norm': 9.929733358677867, 'learning_rate': 2e-05, 'epoch': 0.81}
{'loss': 2.0625, 'grad_norm': 7.560961518941162, 'learning_rate': 2e-05, 'epoch': 0.82}
{'loss': 2.625, 'grad_norm': 9.087008160345897, 'learning_rate': 2e-05, 'epoch': 0.82}
{'loss': 2.0469, 'grad_norm': 8.406212063696636, 'learning_rate': 2e-05, 'epoch': 0.83}
{'loss': 2.2969, 'grad_norm': 9.064937399148908, 'learning_rate': 2e-05, 'epoch': 0.83}
{'loss': 2.2031, 'grad_norm': 9.814113862600934, 'learning_rate': 2e-05, 'epoch': 0.84}
{'loss': 1.9062, 'grad_norm': 8.490454270051245, 'learning_rate': 2e-05, 'epoch': 0.84}
{'loss': 2.2969, 'grad_norm': 10.042492916525509, 'learning_rate': 2e-05, 'epoch': 0.84}
{'loss': 1.9766, 'grad_norm': 8.27969814835863, 'learning_rate': 2e-05, 'epoch': 0.85}
{'loss': 2.1719, 'grad_norm': 8.048242096385604, 'learning_rate': 2e-05, 'epoch': 0.85}
{'loss': 2.1562, 'grad_norm': 9.603437961756839, 'learning_rate': 2e-05, 'epoch': 0.86}
{'loss': 1.8828, 'grad_norm': 8.275083694283113, 'learning_rate': 2e-05, 'epoch': 0.86}
{'loss': 2.1406, 'grad_norm': 10.064871537776176, 'learning_rate': 2e-05, 'epoch': 0.87}
{'loss': 2.0781, 'grad_norm': 8.374997739683083, 'learning_rate': 2e-05, 'epoch': 0.87}
{'loss': 1.8359, 'grad_norm': 7.21249379570679, 'learning_rate': 2e-05, 'epoch': 0.88}
{'loss': 2.2656, 'grad_norm': 9.311535455385785, 'learning_rate': 2e-05, 'epoch': 0.88}
{'loss': 2.1562, 'grad_norm': 8.987094199282193, 'learning_rate': 2e-05, 'epoch': 0.88}
{'loss': 1.7109, 'grad_norm': 9.121309174367719, 'learning_rate': 2e-05, 'epoch': 0.89}
{'loss': 2.125, 'grad_norm': 8.542343126764104, 'learning_rate': 2e-05, 'epoch': 0.89}
{'loss': 2.1719, 'grad_norm': 8.894800784468975, 'learning_rate': 2e-05, 'epoch': 0.9}
{'loss': 2.4375, 'grad_norm': 9.523727275145072, 'learning_rate': 2e-05, 'epoch': 0.9}
{'loss': 2.25, 'grad_norm': 8.488582799926636, 'learning_rate': 2e-05, 'epoch': 0.91}
{'loss': 2.0469, 'grad_norm': 8.95443308736637, 'learning_rate': 2e-05, 'epoch': 0.91}
{'loss': 2.1094, 'grad_norm': 9.57975538980046, 'learning_rate': 2e-05, 'epoch': 0.92}
{'loss': 2.1719, 'grad_norm': 9.5487274888122, 'learning_rate': 2e-05, 'epoch': 0.92}
{'loss': 1.9062, 'grad_norm': 8.64118576542224, 'learning_rate': 2e-05, 'epoch': 0.92}
{'loss': 2.2188, 'grad_norm': 9.445611143984612, 'learning_rate': 2e-05, 'epoch': 0.93}
{'loss': 2.125, 'grad_norm': 8.365687118394272, 'learning_rate': 2e-05, 'epoch': 0.93}
{'loss': 2.5156, 'grad_norm': 10.551630661458233, 'learning_rate': 2e-05, 'epoch': 0.94}
{'loss': 2.0781, 'grad_norm': 7.7567375309607165, 'learning_rate': 2e-05, 'epoch': 0.94}
{'loss': 1.7969, 'grad_norm': 8.36948163722706, 'learning_rate': 2e-05, 'epoch': 0.95}
{'loss': 2.2812, 'grad_norm': 9.085838125451598, 'learning_rate': 2e-05, 'epoch': 0.95}
{'loss': 1.8438, 'grad_norm': 7.674015354486095, 'learning_rate': 2e-05, 'epoch': 0.96}
{'loss': 2.2188, 'grad_norm': 10.336774765135166, 'learning_rate': 2e-05, 'epoch': 0.96}
{'loss': 2.0938, 'grad_norm': 8.260233265601544, 'learning_rate': 2e-05, 'epoch': 0.96}
{'loss': 2.3906, 'grad_norm': 9.051211960170267, 'learning_rate': 2e-05, 'epoch': 0.97}
{'loss': 1.9297, 'grad_norm': 9.009500485381727, 'learning_rate': 2e-05, 'epoch': 0.97}
{'loss': 1.75, 'grad_norm': 7.821559356870003, 'learning_rate': 2e-05, 'epoch': 0.98}
{'loss': 2.2969, 'grad_norm': 9.470895479431555, 'learning_rate': 2e-05, 'epoch': 0.98}
{'loss': 2.0, 'grad_norm': 8.67199973740218, 'learning_rate': 2e-05, 'epoch': 0.99}
{'loss': 2.1562, 'grad_norm': 8.180893476345679, 'learning_rate': 2e-05, 'epoch': 0.99}
