{'loss': 2.0938, 'learning_rate': 2e-05, 'epoch': 0.68}
{'loss': 2.2656, 'learning_rate': 2e-05, 'epoch': 0.68}
{'loss': 2.2891, 'learning_rate': 2e-05, 'epoch': 0.69}
{'loss': 2.2656, 'learning_rate': 2e-05, 'epoch': 0.69}
{'loss': 1.8555, 'learning_rate': 2e-05, 'epoch': 0.69}
{'loss': 2.3281, 'learning_rate': 2e-05, 'epoch': 0.69}
{'loss': 2.3047, 'learning_rate': 2e-05, 'epoch': 0.69}
{'loss': 2.1797, 'learning_rate': 2e-05, 'epoch': 0.7}
{'loss': 2.082, 'learning_rate': 2e-05, 'epoch': 0.7}
{'loss': 2.3008, 'learning_rate': 2e-05, 'epoch': 0.7}
{'loss': 2.4844, 'learning_rate': 2e-05, 'epoch': 0.7}
{'loss': 1.8984, 'learning_rate': 2e-05, 'epoch': 0.71}
{'loss': 2.4062, 'learning_rate': 2e-05, 'epoch': 0.71}
{'loss': 1.9688, 'learning_rate': 2e-05, 'epoch': 0.71}
{'loss': 2.625, 'learning_rate': 2e-05, 'epoch': 0.71}
{'loss': 2.0117, 'learning_rate': 2e-05, 'epoch': 0.71}
{'loss': 2.3906, 'learning_rate': 2e-05, 'epoch': 0.72}
{'loss': 2.0391, 'learning_rate': 2e-05, 'epoch': 0.72}
{'loss': 2.3594, 'learning_rate': 2e-05, 'epoch': 0.72}
{'loss': 1.8906, 'learning_rate': 2e-05, 'epoch': 0.72}
{'loss': 2.0547, 'learning_rate': 2e-05, 'epoch': 0.73}
{'loss': 2.1562, 'learning_rate': 2e-05, 'epoch': 0.73}
{'loss': 2.6406, 'learning_rate': 2e-05, 'epoch': 0.73}
{'loss': 2.4844, 'learning_rate': 2e-05, 'epoch': 0.73}
{'loss': 1.9219, 'learning_rate': 2e-05, 'epoch': 0.73}
{'loss': 2.3906, 'learning_rate': 2e-05, 'epoch': 0.74}
{'loss': 1.8672, 'learning_rate': 2e-05, 'epoch': 0.74}
{'loss': 2.4375, 'learning_rate': 2e-05, 'epoch': 0.74}
{'loss': 2.25, 'learning_rate': 2e-05, 'epoch': 0.74}
{'loss': 2.3828, 'learning_rate': 2e-05, 'epoch': 0.75}
{'loss': 2.6328, 'learning_rate': 2e-05, 'epoch': 0.75}
{'loss': 2.1797, 'learning_rate': 2e-05, 'epoch': 0.75}
{'loss': 2.3906, 'learning_rate': 2e-05, 'epoch': 0.75}
{'loss': 2.2148, 'learning_rate': 2e-05, 'epoch': 0.75}
{'loss': 2.1328, 'learning_rate': 2e-05, 'epoch': 0.76}
{'loss': 2.1562, 'learning_rate': 2e-05, 'epoch': 0.76}
{'loss': 2.0156, 'learning_rate': 2e-05, 'epoch': 0.76}
{'loss': 1.9805, 'learning_rate': 2e-05, 'epoch': 0.76}
{'loss': 2.3047, 'learning_rate': 2e-05, 'epoch': 0.77}
{'loss': 2.0742, 'learning_rate': 2e-05, 'epoch': 0.77}
{'loss': 2.0469, 'learning_rate': 2e-05, 'epoch': 0.77}
{'loss': 1.9961, 'learning_rate': 2e-05, 'epoch': 0.77}
{'loss': 2.1523, 'learning_rate': 2e-05, 'epoch': 0.77}
{'loss': 2.0625, 'learning_rate': 2e-05, 'epoch': 0.78}
{'loss': 1.8945, 'learning_rate': 2e-05, 'epoch': 0.78}
{'loss': 2.3828, 'learning_rate': 2e-05, 'epoch': 0.78}
{'loss': 2.1484, 'learning_rate': 2e-05, 'epoch': 0.78}
{'loss': 2.0938, 'learning_rate': 2e-05, 'epoch': 0.79}
{'loss': 2.3594, 'learning_rate': 2e-05, 'epoch': 0.79}
{'loss': 2.1172, 'learning_rate': 2e-05, 'epoch': 0.79}
{'loss': 1.9258, 'learning_rate': 2e-05, 'epoch': 0.79}
{'loss': 2.0039, 'learning_rate': 2e-05, 'epoch': 0.79}
{'loss': 2.4062, 'learning_rate': 2e-05, 'epoch': 0.8}
{'loss': 1.9414, 'learning_rate': 2e-05, 'epoch': 0.8}
{'loss': 1.8203, 'learning_rate': 2e-05, 'epoch': 0.8}
{'loss': 1.9961, 'learning_rate': 2e-05, 'epoch': 0.8}
{'loss': 2.1797, 'learning_rate': 2e-05, 'epoch': 0.81}
{'loss': 1.9805, 'learning_rate': 2e-05, 'epoch': 0.81}
{'loss': 2.0273, 'learning_rate': 2e-05, 'epoch': 0.81}
{'loss': 2.0898, 'learning_rate': 2e-05, 'epoch': 0.81}
{'loss': 2.1797, 'learning_rate': 2e-05, 'epoch': 0.81}
{'loss': 2.1094, 'learning_rate': 2e-05, 'epoch': 0.82}
{'loss': 2.5781, 'learning_rate': 2e-05, 'epoch': 0.82}
{'loss': 2.1953, 'learning_rate': 2e-05, 'epoch': 0.82}
{'loss': 2.0195, 'learning_rate': 2e-05, 'epoch': 0.82}
{'loss': 2.0898, 'learning_rate': 2e-05, 'epoch': 0.83}
{'loss': 2.0234, 'learning_rate': 2e-05, 'epoch': 0.83}
{'loss': 2.4531, 'learning_rate': 2e-05, 'epoch': 0.83}
{'loss': 2.0742, 'learning_rate': 2e-05, 'epoch': 0.83}
{'loss': 2.1562, 'learning_rate': 2e-05, 'epoch': 0.83}
{'loss': 2.8359, 'learning_rate': 2e-05, 'epoch': 0.84}
{'loss': 2.2109, 'learning_rate': 2e-05, 'epoch': 0.84}
{'loss': 2.1406, 'learning_rate': 2e-05, 'epoch': 0.84}
{'loss': 1.8711, 'learning_rate': 2e-05, 'epoch': 0.84}
{'loss': 1.9961, 'learning_rate': 2e-05, 'epoch': 0.85}
